onset	duration	video	participant	session
1	1	sec-35.avi	sub-09	ses-01
7	1	sec-12.avi	sub-10	ses-01
13	1	sec-278.avi	sub-10	ses-01
19	1	sec-166.avi	sub-10	ses-01
25	1	sec-38.avi	sub-10	ses-01
31	1	sec-9.avi	sub-09	ses-01
37	1	sec-122.avi	sub-09	ses-01
43	1	sec-27.avi	sub-10	ses-01
49	1	sec-211.avi	sub-09	ses-01
55	1	sec-192.avi	sub-10	ses-01
61	1	sec-224.avi	sub-10	ses-01
67	1	sec-236.avi	sub-10	ses-01
73	1	sec-140.avi	sub-10	ses-01
79	1	sec-233.avi	sub-10	ses-01
85	1	sec-257.avi	sub-10	ses-01
91	1	sec-46.avi	sub-09	ses-01
97	1	sec-66.avi	sub-10	ses-01
103	1	sec-149.avi	sub-10	ses-01
109	1	sec-72.avi	sub-10	ses-01
115	1	sec-86.avi	sub-09	ses-01
121	1	sec-133.avi	sub-10	ses-01
127	1	sec-114.avi	sub-10	ses-01
133	1	sec-179.avi	sub-10	ses-01
139	1	sec-114.avi	sub-09	ses-01
145	1	sec-203.avi	sub-09	ses-01
151	1	sec-183.avi	sub-09	ses-01
157	1	sec-95.avi	sub-10	ses-01
163	1	sec-48.avi	sub-10	ses-01
169	1	sec-19.avi	sub-09	ses-01
175	1	sec-182.avi	sub-10	ses-01
181	1	sec-156.avi	sub-10	ses-01
187	1	sec-220.avi	sub-09	ses-01
193	1	sec-244.avi	sub-09	ses-01
199	1	sec-26.avi	sub-09	ses-01
205	1	sec-212.avi	sub-10	ses-01
211	1	sec-173.avi	sub-09	ses-01
217	1	sec-74.avi	sub-09	ses-01
223	1	sec-50.avi	sub-09	ses-01
229	1	sec-240.avi	sub-09	ses-01
235	1	sec-80.avi	sub-10	ses-01
241	1	sec-131.avi	sub-09	ses-01
247	1	sec-2.avi	sub-10	ses-01
253	1	sec-144.avi	sub-09	ses-01
259	1	sec-103.avi	sub-10	ses-01
265	1	sec-139.avi	sub-09	ses-01
271	1	sec-250.avi	sub-10	ses-01
277	1	sec-163.avi	sub-09	ses-01
283	1	sec-61.avi	sub-10	ses-01
289	1	sec-68.avi	sub-09	ses-01
295	1	sec-34.avi	sub-10	ses-01
301	1	sec-228.avi	sub-09	ses-01
307	1	sec-101.avi	sub-09	ses-01
313	1	sec-159.avi	sub-09	ses-01
